

Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
01:03.46	0.000000	0.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.393139	0.525000	
01:04.47	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.393139	0.525000	
01:05.47	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.393139	0.525000	
01:06.47	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.393139	0.525000	
01:07.47	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.393139	0.525000	
01:08.47	246.500000	250.000000	0.037987	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.393139	0.525000	
01:09.47	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:10.47	246.500000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:11.47	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:12.47	246.187500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:13.47	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:14.47	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:15.47	246.500000	250.000000	0.225292	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:16.47	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:17.47	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:18.47	246.625000	250.000000	0.492251	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:19.47	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:20.47	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:21.47	246.500000	250.000000	0.076353	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:22.47	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:23.47	246.187500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:24.46	246.312500	250.000000	0.029337	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:25.47	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:26.46	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:27.46	246.312500	250.000000	0.040387	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:28.46	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:29.47	246.500000	250.000000	0.256688	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:30.46	246.187500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:31.46	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:32.46	246.187500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:33.47	246.625000	250.000000	0.328658	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:34.47	246.687500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.289886	0.525000	
01:35.46	246.625000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.289886	0.525000	
01:36.46	246.500000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.289886	0.525000	
01:37.46	246.500000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.289886	0.525000	
01:38.46	246.625000	250.000000	0.135529	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.289886	0.525000	
01:39.46	246.687500	250.000000	0.129192	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.289886	0.525000	
01:40.46	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.289886	0.525000	
01:41.46	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:42.46	246.500000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:43.46	246.625000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:44.46	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:45.46	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.400829	27.341522	0.525000	
01:46.46	246.375000	250.000000	0.000000	32.658966	20.000000	0.000000	-12.800000	32.658966	32.452442	27.341522	0.525000	
01:47.46	246.625000	250.000000	1.512907	32.658966	20.000000	0.000000	-1.400000	32.658966	32.452442	27.341522	0.525000	
01:48.46	246.312500	250.000000	0.446342	32.658966	20.000000	0.000000	-0.760000	32.658966	32.452442	27.341522	0.525000	
01:49.46	246.375000	250.000000	0.026801	32.658966	20.000000	0.000000	-0.760000	32.658966	32.400829	27.341522	0.525000	
01:50.46	246.187500	250.000000	0.000000	32.658966	20.000000	0.000000	-0.760000	32.658966	32.452442	27.341522	0.525000	
01:51.46	246.312500	250.000000	0.000000	32.658966	20.000000	0.000000	-0.760000	32.658966	32.452442	27.341522	0.525000	
01:52.46	246.187500	250.000000	0.000000	32.658966	20.000000	0.000000	-0.760000	32.658966	32.452442	27.341522	0.525000	
01:53.46	246.062500	250.000000	0.000000	32.658966	20.000000	0.000000	-0.760000	32.658966	32.452442	27.341522	0.525000	
01:54.46	246.312500	250.000000	0.021513	32.658966	20.000000	0.000000	-0.760000	32.658966	32.452442	27.341522	0.525000	
01:55.46	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	-0.760000	32.658966	32.452442	27.341522	0.525000	
01:56.46	246.000000	250.000000	0.000000	32.658966	20.000000	0.000000	70.320000	32.658966	32.452442	27.341522	0.525000	
01:57.46	246.000000	250.000000	7.908968	32.658966	20.000000	0.000000	117.639999	32.658966	32.452442	27.393139	0.525000	
01:58.46	245.687500	250.000000	16.658094	32.658966	20.000000	0.000000	211.880005	32.658966	32.452442	27.393139	0.525000	
01:59.46	245.250000	250.000000	17.652184	32.658966	20.000000	0.000000	226.959991	32.658966	32.452442	27.393139	0.525000	
02:00.46	244.625000	250.000000	13.358982	32.658966	20.000000	0.000000	204.240005	32.658966	32.452442	27.393139	0.525000	
02:01.46	245.562500	250.000000	14.296520	32.658966	20.000000	0.000000	204.240005	32.658966	32.452442	27.393139	0.525000	
02:02.46	246.312500	250.000000	15.153366	32.658966	20.000000	0.000000	204.240005	32.658966	32.452442	27.393139	0.525000	
02:03.46	246.687500	250.000000	13.364322	32.658966	20.000000	0.000000	188.400009	32.658966	32.452442	27.393139	0.525000	
