Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
04:48.96	257.000000	250.000000	54.189217	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.050875	0.470000
04:49.96	257.000000	250.000000	55.178986	26.980133	20.000000	0.000000	205.080002	26.980133	26.360626	26.102488	0.470000
04:50.96	256.250000	250.000000	54.680794	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
04:51.96	255.124985	250.000000	53.650631	26.980133	20.000000	0.000000	205.080002	26.980133	26.360626	26.102488	0.470000
04:52.96	254.812515	250.000000	53.722527	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
04:53.96	253.874985	250.000000	52.532650	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
04:54.96	253.062485	250.000000	51.685219	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
04:55.96	252.437500	250.000000	50.850479	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
04:56.96	251.562500	250.000000	49.399803	26.980133	20.000000	0.000000	205.080002	26.980133	26.360626	26.102488	0.470000
04:57.96	250.562485	250.000000	47.646736	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
04:58.96	249.937500	250.000000	46.454697	26.980133	20.000000	0.000000	205.080002	26.980133	26.360626	26.102488	0.470000
04:59.96	248.875000	250.000000	44.281502	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
05:00.96	247.937500	250.000000	42.103088	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
05:01.96	247.312500	250.000000	40.557652	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.102488	0.470000
05:02.96	246.625000	250.000000	38.777050	26.980133	20.000000	0.000000	205.080002	26.980133	26.360626	26.154125	0.470000
05:03.96	245.875000	250.000000	36.495098	26.980133	20.000000	0.000000	205.080002	26.980133	26.412241	26.154125	0.470000
05:04.96	245.375000	250.000000	34.881683	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.154125	0.470000
05:05.96	244.937500	250.000000	33.321220	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.154125	0.470000
05:06.96	244.500000	250.000000	31.331963	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.154125	0.470000
05:08.03	244.187500	250.000000	29.864544	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.154125	0.470000
05:08.96	243.687500	250.000000	28.043129	26.980133	20.000000	0.000000	205.080002	26.980133	26.360626	26.154125	0.470000
05:09.96	243.250000	250.000000	25.766384	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.154125	0.470000
05:10.96	243.187500	250.000000	24.680660	27.031748	20.000000	0.000000	205.080002	27.031748	26.412241	26.154125	0.470000
05:11.96	243.250000	250.000000	23.850334	26.980133	20.000000	0.000000	205.039993	26.980133	26.360626	26.154125	0.470000
05:12.96	243.187500	250.000000	22.230457	26.980133	20.000000	0.000000	205.039993	26.980133	26.412241	26.154125	0.470000
05:13.96	243.187500	250.000000	21.245510	27.031748	20.000000	0.000000	205.039993	27.031748	26.360626	26.154125	0.470000
05:14.96	242.875000	250.000000	19.650154	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:15.96	243.062500	250.000000	18.978245	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:16.96	243.250000	250.000000	17.909071	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:17.96	243.562500	250.000000	17.573130	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:18.96	243.562500	250.000000	16.152603	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:19.96	243.875000	250.000000	15.919144	27.031748	20.000000	0.000000	205.039993	27.031748	26.360626	26.154125	0.470000
05:20.96	243.875000	250.000000	15.003452	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:21.96	244.187500	250.000000	14.324219	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:22.96	244.500000	250.000000	14.140842	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:23.96	244.500000	250.000000	13.352953	26.980133	20.000000	0.000000	205.039993	26.980133	26.412241	26.154125	0.470000
05:24.96	245.375000	250.000000	13.968300	26.980133	20.000000	0.000000	205.039993	26.980133	26.412241	26.154125	0.470000
05:25.96	245.562500	250.000000	13.697285	26.980133	20.000000	0.000000	205.039993	26.980133	26.412241	26.154125	0.470000
05:26.96	246.625000	250.000000	15.210318	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:27.96	247.875000	250.000000	17.027504	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:28.96	249.125000	250.000000	19.254627	26.980133	20.000000	0.000000	205.039993	26.980133	26.412241	26.154125	0.470000
05:29.96	249.812500	250.000000	20.531239	26.980133	20.000000	0.000000	205.039993	26.980133	26.412241	26.154125	0.470000
05:30.96	250.875000	250.000000	22.666744	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.154125	0.470000
05:31.96	252.437500	250.000000	26.098743	26.980133	20.000000	0.000000	205.039993	26.980133	26.412241	26.154125	0.470000
05:32.96	253.375000	250.000000	28.334837	26.980133	20.000000	0.000000	205.039993	26.980133	26.412241	26.257376	0.470000
05:33.96	254.187500	250.000000	30.467121	26.980133	20.000000	0.000000	205.080002	26.980133	26.412241	26.257376	0.470000
05:34.96	255.250000	250.000000	33.579754	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:35.96	255.625015	250.000000	35.113235	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:36.96	256.375000	250.000000	37.391037	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:37.96	257.187500	250.000000	40.500523	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:38.96	257.187500	250.000000	41.546303	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:39.96	257.812500	250.000000	43.835835	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:40.96	258.062500	250.000000	46.147854	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:41.96	258.250000	250.000000	47.646252	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:42.96	258.375000	250.000000	49.115963	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:43.96	258.125000	250.000000	50.349766	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:44.96	258.125000	250.000000	51.582058	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:45.96	257.750000	250.000000	51.920216	27.031748	20.000000	0.000000	205.080002	27.031748	26.412241	26.257376	0.470000
05:46.96	257.625000	250.000000	53.302353	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:47.96	257.187500	250.000000	53.494251	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:48.96	256.875000	250.000000	53.897064	27.031748	20.000000	0.000000	205.039993	27.031748	26.412241	26.257376	0.470000
05:49.96	256.375000	250.000000	54.373043	27.031748	20.000000	0.000000	320.800018	27.031748	26.412241	26.257376	0.470000
05:50.96	256.187500	250.000000	54.885155	27.031748	20.000000	0.000000	399.640015	27.031748	26.412241	26.257376	0.470000
05:51.96	255.874985	250.000000	55.186218	27.031748	20.000000	0.000000	431.640015	27.031748	26.412241	26.257376	0.470000
05:52.96	255.437500	250.000000	55.520691	27.031748	20.000000	0.000000	493.480011	27.031748	26.412241	26.257376	0.470000
05:53.96	254.937500	250.000000	55.273472	27.083385	20.000000	0.000000	516.720032	27.083385	26.412241	26.257376	0.470000
05:54.96	254.937500	250.000000	55.968018	27.031748	20.000000	0.000000	521.559998	27.031748	26.412241	26.257376	0.470000
05:55.96	254.312485	250.000000	55.738678	27.083385	20.000000	0.000000	521.559998	27.083385	26.463879	26.257376	0.470000
05:56.96	254.312485	250.000000	56.392597	27.083385	20.000000	0.000000	521.559998	27.083385	26.463879	26.257376	0.470000
05:57.96	254.062500	250.000000	56.529381	27.083385	20.000000	0.000000	521.559998	27.083385	26.412241	26.257376	0.470000
