Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
01:17.73	257.500000	250.000000	41.192852	28.993540	20.000000	0.000000	141.880005	28.993540	28.219147	26.721994	0.490000	
01:18.73	257.500000	250.000000	42.806747	28.993540	20.000000	0.000000	141.880005	28.993540	28.167511	26.721994	0.485000	
01:19.73	257.500000	250.000000	43.877998	28.993540	20.000000	0.000000	141.880005	28.993540	28.219147	26.721994	0.485000	
01:20.73	257.500000	250.000000	44.936749	28.993540	20.000000	0.000000	141.839996	28.993540	28.219147	26.721994	0.485000	
01:21.73	256.875000	250.000000	45.239666	28.993540	20.000000	0.000000	141.839996	28.993540	28.167511	26.773632	0.485000	
01:22.73	256.687500	250.000000	45.812210	28.993540	20.000000	0.000000	141.839996	28.993540	28.219147	26.773632	0.485000	
01:23.73	256.500000	250.000000	46.391258	28.993540	20.000000	0.000000	141.839996	28.993540	28.219147	26.773632	0.485000	
01:24.73	256.062500	250.000000	46.846081	28.993540	20.000000	0.000000	141.839996	28.993540	28.219147	26.773632	0.485000	
01:25.73	255.625015	250.000000	46.816513	28.993540	20.000000	0.000000	141.839996	28.993540	28.219147	26.773632	0.485000	
01:26.73	255.437500	250.000000	47.628288	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.485000	
01:27.73	255.124985	250.000000	47.739445	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.485000	
01:28.73	255.000000	250.000000	48.223232	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.485000	
01:29.73	254.500000	250.000000	48.230492	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.485000	
01:30.73	254.062500	250.000000	48.007610	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.485000	
01:31.73	254.000015	250.000000	48.448685	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.490000	
01:32.73	253.750000	250.000000	48.753075	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.490000	
01:33.73	253.250000	250.000000	48.294212	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.490000	
01:34.73	253.062485	250.000000	48.367886	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.490000	
01:35.73	252.500000	250.000000	47.832127	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.490000	
01:36.73	252.187485	250.000000	47.550797	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.490000	
01:37.73	251.687500	250.000000	46.847828	29.045156	20.000000	0.000000	141.839996	29.045156	28.219147	26.773632	0.485000	
01:38.73	251.500015	250.000000	46.831795	29.096790	20.000000	0.000000	141.839996	29.096790	28.219147	26.773632	0.485000	
01:39.73	251.062515	250.000000	46.138618	29.096790	20.000000	0.000000	141.839996	29.096790	28.219147	26.773632	0.490000	
01:40.73	250.312500	250.000000	44.826134	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.773632	0.485000	
01:41.73	250.000000	250.000000	44.244728	29.096790	20.000000	0.000000	141.839996	29.096790	28.219147	26.773632	0.485000	
01:42.73	249.625000	250.000000	43.478218	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.773632	0.485000	
01:43.73	249.187500	250.000000	42.486824	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.773632	0.485000	
01:44.73	248.562500	250.000000	41.094185	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.773632	0.485000	
01:45.73	247.875000	250.000000	39.493015	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.773632	0.485000	
01:46.73	247.312500	250.000000	37.880650	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.773632	0.485000	
01:47.73	246.812500	250.000000	36.477402	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.876883	0.485000	
01:48.73	246.062500	250.000000	34.263802	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.876883	0.485000	
01:49.73	245.750000	250.000000	33.060837	29.148426	20.000000	0.000000	141.800003	29.148426	28.219147	26.876883	0.485000	
01:50.73	245.250000	250.000000	31.464642	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.876883	0.485000	
01:51.73	244.750000	250.000000	29.421753	29.148426	20.000000	0.000000	141.800003	29.148426	28.219147	26.876883	0.485000	
01:52.73	244.312500	250.000000	27.792934	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.485000	
01:53.73	244.125000	250.000000	26.586132	29.148426	20.000000	0.000000	141.800003	29.148426	28.219147	26.876883	0.485000	
01:54.73	243.500000	250.000000	24.080875	29.096790	20.000000	0.000000	141.800003	29.096790	28.219147	26.876883	0.485000	
01:55.73	243.062500	250.000000	22.273926	29.148426	20.000000	0.000000	141.800003	29.148426	28.219147	26.876883	0.490000	
01:56.73	242.875000	250.000000	20.909019	29.148426	20.000000	0.000000	141.800003	29.148426	28.219147	26.876883	0.490000	
01:57.73	242.437500	250.000000	18.496769	29.148426	20.000000	0.000000	141.800003	29.148426	28.219147	26.876883	0.490000	
01:58.73	242.312500	250.000000	17.151669	29.148426	20.000000	0.000000	141.800003	29.148426	28.219147	26.876883	0.490000	
01:59.73	241.812500	250.000000	14.592760	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:00.73	241.500000	250.000000	12.816084	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.485000	
02:01.73	240.687500	250.000000	9.990002	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:02.73	241.062500	250.000000	8.800980	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.485000	
02:03.73	240.875000	250.000000	7.138672	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:04.73	240.875000	250.000000	5.879425	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:05.73	240.750000	250.000000	3.718559	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:06.73	240.875000	250.000000	2.639191	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.485000	
02:07.73	240.875000	250.000000	0.674170	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.485000	
02:08.73	240.687500	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:09.73	240.750000	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:10.73	240.562500	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.322399	26.876883	0.490000	
02:11.73	240.750000	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:12.73	241.187500	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.270782	26.876883	0.490000	
02:13.73	241.062500	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.322399	26.876883	0.485000	
02:14.73	241.187500	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.322399	26.876883	0.490000	
02:15.73	241.500000	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.322399	26.928497	0.485000	
02:16.73	241.687500	250.000000	0.000000	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.485000	
02:17.72	242.000000	250.000000	0.332207	29.148426	20.000000	0.000000	141.800003	29.148426	28.322399	26.928497	0.485000	
02:18.73	242.562500	250.000000	0.000000	29.148426	20.000000	0.000000	141.800003	29.148426	28.322399	26.928497	0.485000	
02:19.73	242.937500	250.000000	0.637370	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.485000	
02:20.72	243.500000	250.000000	0.775345	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.485000	
02:21.73	244.750000	250.000000	2.002570	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.485000	
02:22.72	245.687500	250.000000	3.154578	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.485000	
02:23.73	246.812500	250.000000	4.847671	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.485000	
02:24.73	248.500000	250.000000	7.640289	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.485000	
02:25.73	249.125000	250.000000	8.698090	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.490000	
02:26.73	250.625015	250.000000	11.609552	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.490000	
02:27.73	251.500015	250.000000	13.472239	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.928497	0.485000	
02:28.72	252.312515	250.000000	15.326796	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.980133	0.485000	
02:29.73	253.437485	250.000000	18.134531	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.980133	0.490000	
02:30.72	254.187500	250.000000	20.160847	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.980133	0.490000	
02:31.72	254.687485	250.000000	21.774080	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.980133	0.490000	
02:32.73	255.750000	250.000000	24.998934	29.148426	20.000000	0.000000	141.759995	29.148426	28.322399	26.980133	0.490000	
02:33.73	256.250000	250.000000	26.767366	29.200043	20.000000	0.000000	141.759995	29.200043	28.322399	26.980133	0.490000	
02:34.72	256.812500	250.000000	28.862511	29.200043	20.000000	0.000000	141.759995	29.200043	28.322399	26.980133	0.490000	
02:35.72	257.625000	250.000000	32.156017	29.200043	20.000000	0.000000	141.759995	29.200043	28.374033	26.980133	0.490000	
02:36.72	257.812500	250.000000	33.566662	29.148426	20.000000	0.000000	141.759995	29.148426	28.374033	26.980133	0.490000	
