Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
05:08.96	243.6875	250	28.043129	26.980133	20	0	205.080002	26.980133	26.360626	26.154125	0.47
05:09.96	243.25	250	25.766384	26.980133	20	0	205.039993	26.980133	26.360626	26.154125	0.47
05:10.96	243.1875	250	24.68066	27.031748	20	0	205.080002	27.031748	26.412241	26.154125	0.47
05:11.96	243.25	250	23.850334	26.980133	20	0	205.039993	26.980133	26.360626	26.154125	0.47
05:12.96	243.1875	250	22.230457	26.980133	20	0	205.039993	26.980133	26.412241	26.154125	0.47
05:13.96	243.1875	250	21.24551	27.031748	20	0	205.039993	27.031748	26.360626	26.154125	0.47
05:14.96	242.875	250	19.650154	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:15.96	243.0625	250	18.978245	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:16.96	243.25	250	17.909071	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:17.96	243.5625	250	17.57313	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:18.96	243.5625	250	16.152603	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:19.96	243.875	250	15.919144	27.031748	20	0	205.039993	27.031748	26.360626	26.154125	0.47
05:20.96	243.875	250	15.003452	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:21.96	244.1875	250	14.324219	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:22.96	244.5	250	14.140842	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:23.96	244.5	250	13.352953	26.980133	20	0	205.039993	26.980133	26.412241	26.154125	0.47
05:24.96	245.375	250	13.9683	26.980133	20	0	205.039993	26.980133	26.412241	26.154125	0.47
05:25.96	245.5625	250	13.697285	26.980133	20	0	205.039993	26.980133	26.412241	26.154125	0.47
05:26.96	246.625	250	15.210318	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:27.96	247.875	250	17.027504	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:28.96	249.125	250	19.254627	26.980133	20	0	205.039993	26.980133	26.412241	26.154125	0.47
05:29.96	249.8125	250	20.531239	26.980133	20	0	205.039993	26.980133	26.412241	26.154125	0.47
05:30.96	250.875	250	22.666744	27.031748	20	0	205.039993	27.031748	26.412241	26.154125	0.47
05:31.96	252.4375	250	26.098743	26.980133	20	0	205.039993	26.980133	26.412241	26.154125	0.47
05:32.96	253.375	250	28.334837	26.980133	20	0	205.039993	26.980133	26.412241	26.257376	0.47
05:33.96	254.1875	250	30.467121	26.980133	20	0	205.080002	26.980133	26.412241	26.257376	0.47
05:34.96	255.25	250	33.579754	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:35.96	255.625015	250	35.113235	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:36.96	256.375	250	37.391037	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:37.96	257.1875	250	40.500523	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:38.96	257.1875	250	41.546303	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:39.96	257.8125	250	43.835835	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
05:40.96	258.0625	250	46.147854	27.031748	20	0	205.039993	27.031748	26.412241	26.257376	0.47
