[Connect DataFile][1.0]
Date:	25.9.2018
Time:	16:43:40
Unit:	°C
Resolution:	0,020
Time	TObj	TInt	TExt
00:00:27,640	46,2	26,7	-----	
00:00:27,660	46,2	26,7	-----	
00:00:27,680	46,2	26,7	-----	
00:00:27,700	46,2	26,7	-----	
00:00:27,720	46,2	26,7	-----	
00:00:27,740	46,3	26,7	-----	
00:00:27,760	46,3	26,7	-----	
00:00:27,780	46,3	26,7	-----	
00:00:27,800	46,3	26,7	-----	
00:00:27,820	46,3	26,7	-----	
00:00:27,840	46,3	26,7	-----	
00:00:27,860	46,3	26,7	-----	
00:00:27,880	46,3	26,7	-----	
00:00:27,900	46,3	26,7	-----	
00:00:27,920	46,3	26,7	-----	
00:00:27,940	46,3	26,7	-----	
00:00:27,960	46,3	26,7	-----	
00:00:27,980	46,3	26,7	-----	
00:00:28,000	46,4	26,7	-----	
00:00:28,020	46,4	26,7	-----	
00:00:28,040	46,4	26,7	-----	
00:00:28,060	46,4	26,7	-----	
00:00:28,080	46,4	26,7	-----	
00:00:28,100	46,4	26,7	-----	
00:00:28,120	46,5	26,7	-----	
00:00:28,140	46,5	26,7	-----	
00:00:28,160	46,5	26,7	-----	
00:00:28,180	46,5	26,7	-----	
00:00:28,200	46,5	26,7	-----	
00:00:28,220	46,5	26,7	-----	
00:00:28,240	46,5	26,7	-----	
00:00:28,260	46,5	26,7	-----	
00:00:28,280	46,5	26,7	-----	
00:00:28,300	46,5	26,7	-----	
00:00:28,320	46,5	26,7	-----	
00:00:28,340	46,5	26,7	-----	
00:00:28,360	46,6	26,7	-----	
00:00:28,380	46,7	26,7	-----	
00:00:28,400	46,7	26,7	-----	
00:00:28,420	46,7	26,7	-----	
00:00:28,440	46,7	26,7	-----	
00:00:28,460	46,7	26,7	-----	
00:00:28,480	46,7	26,7	-----	
00:00:28,500	46,7	26,7	-----	
00:00:28,520	46,7	26,7	-----	
00:00:28,540	46,7	26,7	-----	
00:00:28,560	46,7	26,7	-----	
00:00:28,580	46,7	26,7	-----	
00:00:28,600	46,7	26,7	-----	
00:00:28,620	46,7	26,7	-----	
00:00:28,640	46,7	26,7	-----	
00:00:28,660	46,7	26,7	-----	
00:00:28,680	46,7	26,7	-----	
00:00:28,700	46,8	26,7	-----	
00:00:28,720	46,8	26,7	-----	
00:00:28,740	46,8	26,7	-----	
00:00:28,760	46,8	26,7	-----	
00:00:28,780	46,8	26,7	-----	
00:00:28,800	46,8	26,7	-----	
00:00:28,820	46,8	26,7	-----	
00:00:28,840	46,8	26,7	-----	
00:00:28,860	46,8	26,7	-----	
00:00:28,880	46,8	26,7	-----	
00:00:28,900	46,8	26,7	-----	
00:00:28,920	46,9	26,7	-----	
00:00:28,940	46,9	26,7	-----	
00:00:28,960	46,9	26,7	-----	
00:00:28,980	46,9	26,7	-----	
00:00:29,000	46,9	26,7	-----	
00:00:29,020	46,9	26,7	-----	
00:00:29,040	46,9	26,7	-----	
00:00:29,060	47,0	26,7	-----	
00:00:29,080	47,0	26,7	-----	
00:00:29,100	47,0	26,7	-----	
00:00:29,120	47,0	26,7	-----	
00:00:29,140	47,0	26,7	-----	
00:00:29,160	47,0	26,7	-----	
00:00:29,180	47,0	26,7	-----	
00:00:29,200	47,0	26,7	-----	
00:00:29,220	47,1	26,7	-----	
00:00:29,240	47,1	26,7	-----	
00:00:29,260	47,1	26,7	-----	
00:00:29,280	47,1	26,7	-----	
00:00:29,300	47,1	26,7	-----	
00:00:29,320	47,1	26,7	-----	
00:00:29,340	47,1	26,7	-----	
00:00:29,360	47,1	26,7	-----	
00:00:29,380	47,1	26,7	-----	
00:00:29,400	47,2	26,7	-----	
00:00:29,420	47,2	26,7	-----	
00:00:29,440	47,2	26,7	-----	
00:00:29,460	47,2	26,7	-----	
00:00:29,480	47,2	26,7	-----	
00:00:29,500	47,2	26,7	-----	
00:00:29,520	47,2	26,7	-----	
00:00:29,540	47,2	26,7	-----	
00:00:29,560	47,2	26,7	-----	
00:00:29,580	47,3	26,7	-----	
00:00:29,600	47,3	26,7	-----	
00:00:29,620	47,3	26,7	-----	
00:00:29,640	47,3	26,7	-----	
00:00:29,660	47,3	26,7	-----	
00:00:29,680	47,3	26,7	-----	
00:00:29,700	47,3	26,7	-----	
00:00:29,720	47,4	26,7	-----	
00:00:29,740	47,4	26,7	-----	
00:00:29,760	47,4	26,7	-----	
00:00:29,780	47,4	26,7	-----	
00:00:29,800	47,4	26,7	-----	
00:00:29,820	47,4	26,7	-----	
00:00:29,840	47,4	26,7	-----	
00:00:29,860	47,4	26,7	-----	
00:00:29,880	47,4	26,7	-----	
00:00:29,900	47,4	26,7	-----	
00:00:29,920	47,5	26,7	-----	
00:00:29,940	47,5	26,7	-----	
00:00:29,960	47,5	26,7	-----	
00:00:29,980	47,5	26,7	-----	
00:00:30,000	47,5	26,7	-----	
00:00:30,020	47,5	26,7	-----	
00:00:30,040	47,6	26,7	-----	
00:00:30,060	47,6	26,7	-----	
00:00:30,080	47,6	26,7	-----	
00:00:30,100	47,6	26,7	-----	
00:00:30,120	47,6	26,7	-----	
00:00:30,140	47,6	26,7	-----	
00:00:30,160	47,6	26,7	-----	
00:00:30,180	47,6	26,7	-----	
00:00:30,200	47,6	26,7	-----	
00:00:30,220	47,6	26,7	-----	
00:00:30,240	47,6	26,7	-----	
00:00:30,260	47,7	26,7	-----	
00:00:30,280	47,7	26,7	-----	
00:00:30,300	47,7	26,7	-----	
00:00:30,320	47,7	26,7	-----	
00:00:30,340	47,7	26,7	-----	
00:00:30,360	47,7	26,7	-----	
00:00:30,380	47,7	26,7	-----	
00:00:30,400	47,7	26,7	-----	
00:00:30,420	47,7	26,7	-----	
00:00:30,440	47,8	26,7	-----	
00:00:30,460	47,8	26,7	-----	
00:00:30,480	47,8	26,7	-----	
00:00:30,500	47,8	26,7	-----	
00:00:30,520	47,8	26,7	-----	
00:00:30,540	47,8	26,7	-----	
00:00:30,560	47,8	26,7	-----	
00:00:30,580	47,8	26,7	-----	
00:00:30,600	47,8	26,7	-----	
00:00:30,620	47,9	26,7	-----	
00:00:30,640	47,9	26,7	-----	
00:00:30,660	47,9	26,7	-----	
00:00:30,680	47,9	26,7	-----	
00:00:30,700	47,9	26,7	-----	
00:00:30,720	47,9	26,7	-----	
00:00:30,740	48,0	26,7	-----	
00:00:30,760	48,0	26,7	-----	
00:00:30,780	48,0	26,7	-----	
00:00:30,800	48,0	26,7	-----	
00:00:30,820	48,0	26,7	-----	
00:00:30,840	48,0	26,7	-----	
00:00:30,860	48,0	26,7	-----	
00:00:30,880	48,0	26,7	-----	
00:00:30,900	48,0	26,7	-----	
00:00:30,920	48,0	26,7	-----	
00:00:30,940	48,0	26,7	-----	
00:00:30,960	48,0	26,7	-----	
00:00:30,980	48,0	26,7	-----	
00:00:31,000	48,0	26,7	-----	
00:00:31,020	48,0	26,7	-----	
00:00:31,040	48,0	26,7	-----	
00:00:31,060	48,1	26,7	-----	
00:00:31,080	48,1	26,7	-----	
00:00:31,100	48,1	26,7	-----	
00:00:31,120	48,1	26,7	-----	
00:00:31,140	48,1	26,7	-----	
00:00:31,160	48,1	26,7	-----	
00:00:31,180	48,1	26,7	-----	
00:00:31,200	48,1	26,7	-----	
00:00:31,220	48,1	26,7	-----	
00:00:31,240	48,1	26,7	-----	
00:00:31,260	48,1	26,7	-----	
00:00:31,280	48,1	26,7	-----	
00:00:31,300	48,1	26,7	-----	
00:00:31,320	48,1	26,7	-----	
00:00:31,340	48,1	26,7	-----	
00:00:31,360	48,1	26,7	-----	
00:00:31,380	48,1	26,7	-----	
00:00:31,400	48,2	26,7	-----	
00:00:31,420	48,2	26,7	-----	
00:00:31,440	48,2	26,7	-----	
00:00:31,460	48,2	26,7	-----	
00:00:31,480	48,2	26,7	-----	
00:00:31,500	48,2	26,7	-----	
00:00:31,520	48,2	26,7	-----	
00:00:31,540	48,2	26,7	-----	
00:00:31,560	48,3	26,7	-----	
00:00:31,580	48,3	26,7	-----	
00:00:31,600	48,3	26,7	-----	
00:00:31,620	48,3	26,7	-----	
00:00:31,640	48,3	26,7	-----	
00:00:31,660	48,3	26,7	-----	
00:00:31,680	48,3	26,7	-----	
00:00:31,700	48,3	26,7	-----	
00:00:31,720	48,3	26,7	-----	
00:00:31,740	48,3	26,7	-----	
00:00:31,760	48,3	26,7	-----	
00:00:31,780	48,4	26,7	-----	
00:00:31,800	48,4	26,7	-----	
00:00:31,820	48,4	26,7	-----	
00:00:31,840	48,4	26,7	-----	
00:00:31,860	48,4	26,7	-----	
00:00:31,880	48,4	26,7	-----	
00:00:31,900	48,4	26,7	-----	
00:00:31,920	48,4	26,7	-----	
00:00:31,940	48,4	26,7	-----	
00:00:31,960	48,4	26,7	-----	
00:00:31,980	48,5	26,7	-----	
00:00:32,000	48,5	26,7	-----	
00:00:32,020	48,5	26,7	-----	
00:00:32,040	48,5	26,7	-----	
00:00:32,060	48,5	26,7	-----	
00:00:32,080	48,5	26,7	-----	
00:00:32,100	48,5	26,7	-----	
00:00:32,120	48,5	26,7	-----	
00:00:32,140	48,5	26,7	-----	
00:00:32,160	48,5	26,7	-----	
00:00:32,180	48,5	26,7	-----	
00:00:32,200	48,5	26,7	-----	
00:00:32,220	48,6	26,7	-----	
00:00:32,240	48,6	26,7	-----	
00:00:32,260	48,6	26,7	-----	
00:00:32,280	48,7	26,7	-----	
00:00:32,300	48,7	26,7	-----	
00:00:32,320	48,7	26,7	-----	
00:00:32,340	48,7	26,7	-----	
00:00:32,360	48,7	26,7	-----	
00:00:32,380	48,7	26,7	-----	
00:00:32,400	48,7	26,7	-----	
00:00:32,420	48,7	26,7	-----	
00:00:32,440	48,7	26,7	-----	
00:00:32,460	48,7	26,7	-----	
00:00:32,480	48,7	26,7	-----	
00:00:32,500	48,8	26,7	-----	
00:00:32,520	48,8	26,7	-----	
00:00:32,540	48,8	26,7	-----	
00:00:32,560	48,8	26,7	-----	
00:00:32,580	48,8	26,7	-----	
00:00:32,600	48,8	26,7	-----	
00:00:32,620	48,8	26,7	-----	
00:00:32,640	48,8	26,7	-----	
00:00:32,660	48,8	26,7	-----	
00:00:32,680	48,8	26,7	-----	
00:00:32,700	48,8	26,7	-----	
00:00:32,720	48,8	26,7	-----	
00:00:32,740	48,9	26,7	-----	
00:00:32,760	48,9	26,7	-----	
00:00:32,780	48,9	26,7	-----	
00:00:32,800	48,9	26,7	-----	
00:00:32,820	48,9	26,7	-----	
00:00:32,840	48,9	26,7	-----	
00:00:32,860	48,9	26,7	-----	
00:00:32,880	48,9	26,7	-----	
00:00:32,900	48,9	26,7	-----	
00:00:32,920	48,9	26,7	-----	
00:00:32,940	48,9	26,7	-----	
00:00:32,960	48,9	26,7	-----	
00:00:32,980	49,0	26,7	-----	
00:00:33,000	49,0	26,7	-----	
00:00:33,020	49,0	26,7	-----	
00:00:33,040	49,0	26,7	-----	
00:00:33,060	49,0	26,7	-----	
00:00:33,080	49,0	26,7	-----	
00:00:33,100	49,0	26,7	-----	
00:00:33,120	49,0	26,7	-----	
00:00:33,140	49,0	26,7	-----	
00:00:33,160	49,0	26,7	-----	
00:00:33,180	49,0	26,7	-----	
00:00:33,200	49,0	26,7	-----	
00:00:33,220	49,0	26,7	-----	
00:00:33,240	49,0	26,7	-----	
00:00:33,260	49,0	26,7	-----	
00:00:33,280	49,1	26,7	-----	
00:00:33,300	49,1	26,7	-----	
00:00:33,320	49,1	26,7	-----	
00:00:33,340	49,1	26,7	-----	
00:00:33,360	49,1	26,7	-----	
00:00:33,380	49,1	26,7	-----	
00:00:33,400	49,1	26,7	-----	
00:00:33,420	49,1	26,7	-----	
00:00:33,440	49,1	26,7	-----	
00:00:33,460	49,1	26,7	-----	
00:00:33,480	49,1	26,7	-----	
00:00:33,500	49,2	26,7	-----	
00:00:33,520	49,2	26,7	-----	
00:00:33,540	49,2	26,7	-----	
00:00:33,560	49,2	26,7	-----	
00:00:33,580	49,2	26,7	-----	
00:00:33,600	49,2	26,7	-----	
00:00:33,620	49,2	26,7	-----	
00:00:33,640	49,2	26,7	-----	
00:00:33,660	49,2	26,7	-----	
00:00:33,680	49,2	26,7	-----	
00:00:33,700	49,3	26,7	-----	
00:00:33,720	49,3	26,7	-----	
00:00:33,740	49,3	26,7	-----	
00:00:33,760	49,3	26,7	-----	
00:00:33,780	49,3	26,7	-----	
00:00:33,800	49,3	26,7	-----	
00:00:33,820	49,3	26,7	-----	
00:00:33,840	49,3	26,7	-----	
00:00:33,860	49,3	26,7	-----	
00:00:33,880	49,3	26,7	-----	
00:00:33,900	49,3	26,7	-----	
00:00:33,920	49,3	26,7	-----	
00:00:33,940	49,3	26,7	-----	
00:00:33,960	49,3	26,7	-----	
00:00:33,980	49,3	26,7	-----	
00:00:34,000	49,4	26,7	-----	
00:00:34,020	49,4	26,7	-----	
00:00:34,040	49,4	26,7	-----	
00:00:34,060	49,4	26,7	-----	
00:00:34,080	49,4	26,7	-----	
00:00:34,100	49,4	26,7	-----	
00:00:34,120	49,4	26,7	-----	
00:00:34,140	49,4	26,7	-----	
00:00:34,160	49,4	26,7	-----	
00:00:34,180	49,4	26,7	-----	
00:00:34,200	49,4	26,7	-----	
00:00:34,220	49,4	26,7	-----	
00:00:34,240	49,4	26,7	-----	
00:00:34,260	49,4	26,7	-----	
00:00:34,280	49,5	26,7	-----	
00:00:34,300	49,5	26,7	-----	
00:00:34,320	49,5	26,7	-----	
00:00:34,340	49,5	26,7	-----	
00:00:34,360	49,5	26,7	-----	
00:00:34,380	49,5	26,7	-----	
00:00:34,400	49,5	26,7	-----	
00:00:34,420	49,5	26,7	-----	
00:00:34,440	49,5	26,7	-----	
00:00:34,460	49,5	26,7	-----	
00:00:34,480	49,5	26,7	-----	
00:00:34,500	49,5	26,7	-----	
00:00:34,520	49,5	26,7	-----	
00:00:34,540	49,5	26,7	-----	
00:00:34,560	49,5	26,7	-----	
00:00:34,580	49,5	26,7	-----	
00:00:34,600	49,5	26,7	-----	
00:00:34,620	49,5	26,7	-----	
00:00:34,640	49,5	26,7	-----	
00:00:34,660	49,5	26,7	-----	
00:00:34,680	49,5	26,7	-----	
00:00:34,700	49,5	26,7	-----	
00:00:34,720	49,6	26,7	-----	
00:00:34,740	49,6	26,7	-----	
00:00:34,760	49,6	26,7	-----	
00:00:34,780	49,6	26,7	-----	
00:00:34,800	49,6	26,7	-----	
00:00:34,820	49,7	26,7	-----	
00:00:34,840	49,7	26,7	-----	
00:00:34,860	49,7	26,7	-----	
00:00:34,880	49,7	26,7	-----	
00:00:34,900	49,7	26,7	-----	
00:00:34,920	49,7	26,7	-----	
00:00:34,940	49,7	26,7	-----	
00:00:34,960	49,8	26,7	-----	
00:00:34,980	49,8	26,7	-----	
00:00:35,000	49,8	26,7	-----	
00:00:35,020	49,8	26,7	-----	
00:00:35,040	49,8	26,7	-----	
00:00:35,060	49,8	26,7	-----	
00:00:35,080	49,8	26,7	-----	
00:00:35,100	49,8	26,7	-----	
00:00:35,120	49,8	26,7	-----	
00:00:35,140	49,8	26,7	-----	
00:00:35,160	49,8	26,7	-----	
00:00:35,180	49,8	26,7	-----	
00:00:35,200	49,8	26,7	-----	
00:00:35,220	49,8	26,7	-----	
00:00:35,240	49,8	26,7	-----	
00:00:35,260	49,8	26,7	-----	
00:00:35,280	49,8	26,7	-----	
00:00:35,300	49,8	26,7	-----	
00:00:35,320	49,8	26,7	-----	
00:00:35,340	49,8	26,7	-----	
00:00:35,360	49,8	26,7	-----	
00:00:35,380	49,8	26,7	-----	
00:00:35,400	49,8	26,7	-----	
00:00:35,420	49,8	26,7	-----	
00:00:35,440	49,8	26,7	-----	
00:00:35,460	49,9	26,7	-----	
00:00:35,480	49,9	26,7	-----	
00:00:35,500	49,9	26,7	-----	
00:00:35,520	50,0	26,7	-----	
00:00:35,540	50,0	26,7	-----	
00:00:35,560	50,0	26,7	-----	
00:00:35,580	50,0	26,7	-----	
00:00:35,600	50,0	26,7	-----	
00:00:35,620	50,0	26,7	-----	
00:00:35,640	50,0	26,7	-----	
00:00:35,660	50,0	26,7	-----	
00:00:35,680	50,0	26,7	-----	
00:00:35,700	50,0	26,7	-----	
00:00:35,720	50,0	26,7	-----	
00:00:35,740	50,0	26,7	-----	
00:00:35,760	50,0	26,7	-----	
00:00:35,780	50,0	26,7	-----	
00:00:35,800	50,0	26,7	-----	
00:00:35,820	50,0	26,7	-----	
00:00:35,840	50,0	26,7	-----	
00:00:35,860	50,0	26,7	-----	
00:00:35,880	50,0	26,7	-----	
00:00:35,900	50,0	26,7	-----	
00:00:35,920	50,0	26,7	-----	
00:00:35,940	50,1	26,7	-----	
00:00:35,960	50,1	26,7	-----	
00:00:35,980	50,1	26,7	-----	
00:00:36,000	50,1	26,7	-----	
00:00:36,020	50,1	26,7	-----	
00:00:36,040	50,1	26,7	-----	
00:00:36,060	50,1	26,7	-----	
00:00:36,080	50,1	26,7	-----	
00:00:36,100	50,1	26,7	-----	
00:00:36,120	50,1	26,7	-----	
00:00:36,140	50,1	26,7	-----	
00:00:36,160	50,1	26,7	-----	
00:00:36,180	50,1	26,7	-----	
00:00:36,200	50,1	26,7	-----	
00:00:36,220	50,1	26,7	-----	
00:00:36,240	50,1	26,7	-----	
00:00:36,260	50,2	26,7	-----	
00:00:36,280	50,2	26,7	-----	
00:00:36,300	50,2	26,7	-----	
00:00:36,320	50,2	26,7	-----	
00:00:36,340	50,2	26,7	-----	
00:00:36,360	50,2	26,7	-----	
00:00:36,380	50,2	26,7	-----	
00:00:36,400	50,2	26,7	-----	
00:00:36,420	50,2	26,7	-----	
00:00:36,440	50,2	26,7	-----	
00:00:36,460	50,2	26,7	-----	
00:00:36,480	50,2	26,7	-----	
00:00:36,500	50,2	26,7	-----	
00:00:36,520	50,2	26,7	-----	
00:00:36,540	50,2	26,7	-----	
00:00:36,560	50,3	26,7	-----	
00:00:36,580	50,3	26,7	-----	
00:00:36,600	50,3	26,7	-----	
00:00:36,620	50,3	26,7	-----	
00:00:36,640	50,3	26,7	-----	
00:00:36,660	50,3	26,7	-----	
00:00:36,680	50,3	26,7	-----	
00:00:36,700	50,3	26,7	-----	
00:00:36,720	50,3	26,7	-----	
00:00:36,740	50,3	26,7	-----	
00:00:36,760	50,3	26,7	-----	
00:00:36,780	50,3	26,7	-----	
00:00:36,800	50,3	26,7	-----	
00:00:36,820	50,3	26,7	-----	
00:00:36,840	50,3	26,7	-----	
00:00:36,860	50,3	26,7	-----	
00:00:36,880	50,3	26,7	-----	
00:00:36,900	50,3	26,7	-----	
00:00:36,920	50,3	26,7	-----	
00:00:36,940	50,3	26,7	-----	
00:00:36,960	50,4	26,7	-----	
00:00:36,980	50,4	26,7	-----	
00:00:37,000	50,4	26,7	-----	
00:00:37,020	50,4	26,7	-----	
00:00:37,040	50,5	26,7	-----	
00:00:37,060	50,5	26,7	-----	
00:00:37,080	50,5	26,7	-----	
00:00:37,100	50,5	26,7	-----	
00:00:37,120	50,5	26,7	-----	
00:00:37,140	50,5	26,7	-----	
00:00:37,160	50,5	26,7	-----	
00:00:37,180	50,5	26,7	-----	
00:00:37,200	50,5	26,7	-----	
00:00:37,220	50,5	26,7	-----	
00:00:37,240	50,5	26,7	-----	
00:00:37,260	50,5	26,7	-----	
00:00:37,280	50,5	26,7	-----	
00:00:37,300	50,5	26,7	-----	
00:00:37,320	50,5	26,7	-----	
00:00:37,340	50,5	26,7	-----	
00:00:37,360	50,5	26,7	-----	
00:00:37,380	50,5	26,7	-----	
00:00:37,400	50,5	26,7	-----	
00:00:37,420	50,5	26,7	-----	
00:00:37,440	50,5	26,7	-----	
00:00:37,460	50,5	26,7	-----	
00:00:37,480	50,6	26,7	-----	
00:00:37,500	50,6	26,7	-----	
00:00:37,520	50,6	26,7	-----	
00:00:37,540	50,6	26,7	-----	
00:00:37,560	50,6	26,7	-----	
00:00:37,580	50,6	26,7	-----	
00:00:37,600	50,6	26,7	-----	
00:00:37,620	50,6	26,7	-----	
00:00:37,640	50,6	26,7	-----	
00:00:37,660	50,6	26,7	-----	
00:00:37,680	50,7	26,7	-----	
00:00:37,700	50,7	26,7	-----	
00:00:37,720	50,7	26,7	-----	
00:00:37,740	50,7	26,7	-----	
00:00:37,760	50,7	26,7	-----	
00:00:37,780	50,7	26,7	-----	
00:00:37,800	50,7	26,7	-----	
00:00:37,820	50,7	26,7	-----	
00:00:37,840	50,7	26,7	-----	
00:00:37,860	50,7	26,7	-----	
00:00:37,880	50,7	26,7	-----	
00:00:37,900	50,7	26,7	-----	
00:00:37,920	50,7	26,7	-----	
00:00:37,940	50,7	26,7	-----	
00:00:37,960	50,7	26,7	-----	
00:00:37,980	50,7	26,7	-----	
00:00:38,000	50,7	26,7	-----	
00:00:38,020	50,7	26,7	-----	
00:00:38,040	50,7	26,7	-----	
00:00:38,060	50,7	26,7	-----	
00:00:38,080	50,7	26,7	-----	
00:00:38,100	50,7	26,7	-----	
00:00:38,120	50,7	26,7	-----	
00:00:38,140	50,7	26,7	-----	
00:00:38,160	50,7	26,7	-----	
00:00:38,180	50,8	26,7	-----	
00:00:38,200	50,8	26,7	-----	
00:00:38,220	50,8	26,7	-----	
00:00:38,240	50,8	26,7	-----	
00:00:38,260	50,8	26,7	-----	
00:00:38,280	50,8	26,7	-----	
00:00:38,300	50,8	26,7	-----	
00:00:38,320	50,8	26,7	-----	
00:00:38,340	50,8	26,7	-----	
00:00:38,360	50,8	26,7	-----	
00:00:38,380	50,8	26,7	-----	
00:00:38,400	50,8	26,7	-----	
00:00:38,420	50,8	26,7	-----	
00:00:38,440	50,9	26,7	-----	
00:00:38,460	50,9	26,7	-----	
00:00:38,480	50,9	26,7	-----	
00:00:38,500	50,9	26,7	-----	
00:00:38,520	50,9	26,7	-----	
00:00:38,540	50,9	26,7	-----	
00:00:38,560	50,9	26,7	-----	
00:00:38,580	50,9	26,7	-----	
00:00:38,600	50,9	26,7	-----	
00:00:38,620	50,9	26,7	-----	
00:00:38,640	50,9	26,7	-----	
00:00:38,660	50,9	26,7	-----	
00:00:38,680	50,9	26,7	-----	
00:00:38,700	50,9	26,7	-----	
00:00:38,720	50,9	26,7	-----	
00:00:38,740	50,9	26,7	-----	
00:00:38,760	51,0	26,7	-----	
00:00:38,780	51,0	26,7	-----	
00:00:38,800	51,0	26,7	-----	
00:00:38,820	51,0	26,7	-----	
00:00:38,840	51,0	26,7	-----	
00:00:38,860	51,0	26,7	-----	
00:00:38,880	51,0	26,7	-----	
00:00:38,900	51,0	26,7	-----	
00:00:38,920	51,0	26,7	-----	
00:00:38,940	51,0	26,7	-----	
00:00:38,960	51,0	26,7	-----	
00:00:38,980	51,0	26,7	-----	
00:00:39,000	51,0	26,7	-----	
00:00:39,020	51,0	26,7	-----	
00:00:39,040	51,0	26,7	-----	
00:00:39,060	51,0	26,7	-----	
00:00:39,080	51,0	26,7	-----	
00:00:39,100	51,0	26,7	-----	
00:00:39,120	51,0	26,7	-----	
00:00:39,140	51,0	26,7	-----	
00:00:39,160	51,0	26,7	-----	
00:00:39,180	51,0	26,7	-----	
00:00:39,200	51,0	26,7	-----	
00:00:39,220	51,0	26,7	-----	
00:00:39,240	51,0	26,7	-----	
00:00:39,260	51,0	26,7	-----	
00:00:39,280	51,0	26,7	-----	
00:00:39,300	51,0	26,7	-----	
00:00:39,320	51,0	26,7	-----	
00:00:39,340	51,0	26,7	-----	
00:00:39,360	51,0	26,7	-----	
00:00:39,380	51,1	26,7	-----	
00:00:39,400	51,1	26,7	-----	
00:00:39,420	51,1	26,7	-----	
00:00:39,440	51,1	26,7	-----	
00:00:39,460	51,1	26,7	-----	
00:00:39,480	51,1	26,7	-----	
00:00:39,500	51,1	26,7	-----	
00:00:39,520	51,1	26,7	-----	
00:00:39,540	51,1	26,7	-----	
00:00:39,560	51,1	26,7	-----	
00:00:39,580	51,1	26,7	-----	
00:00:39,600	51,1	26,7	-----	
00:00:39,620	51,1	26,7	-----	
00:00:39,640	51,1	26,7	-----	
00:00:39,660	51,1	26,7	-----	
00:00:39,680	51,1	26,7	-----	
00:00:39,700	51,1	26,7	-----	
00:00:39,720	51,1	26,7	-----	
00:00:39,740	51,1	26,7	-----	
00:00:39,760	51,1	26,7	-----	
00:00:39,780	51,2	26,7	-----	
00:00:39,800	51,2	26,7	-----	
00:00:39,820	51,2	26,7	-----	
00:00:39,840	51,2	26,7	-----	
00:00:39,860	51,2	26,7	-----	
00:00:39,880	51,2	26,7	-----	
00:00:39,900	51,2	26,7	-----	
00:00:39,920	51,2	26,7	-----	
00:00:39,940	51,2	26,7	-----	
00:00:39,960	51,2	26,7	-----	
00:00:39,980	51,2	26,7	-----	
00:00:40,000	51,2	26,7	-----	
00:00:40,020	51,2	26,7	-----	
00:00:40,040	51,2	26,7	-----	
00:00:40,060	51,2	26,7	-----	
00:00:40,080	51,3	26,7	-----	
00:00:40,100	51,3	26,7	-----	
00:00:40,120	51,3	26,7	-----	
00:00:40,140	51,3	26,7	-----	
00:00:40,160	51,3	26,7	-----	
00:00:40,180	51,3	26,7	-----	
00:00:40,200	51,3	26,7	-----	
00:00:40,220	51,3	26,7	-----	
00:00:40,240	51,3	26,7	-----	
00:00:40,260	51,3	26,7	-----	
00:00:40,280	51,3	26,7	-----	
00:00:40,300	51,3	26,7	-----	
00:00:40,320	51,3	26,7	-----	
00:00:40,340	51,3	26,7	-----	
00:00:40,360	51,3	26,7	-----	
00:00:40,380	51,3	26,7	-----	
00:00:40,400	51,3	26,7	-----	
00:00:40,420	51,3	26,7	-----	
00:00:40,440	51,3	26,7	-----	
00:00:40,460	51,3	26,7	-----	
00:00:40,480	51,3	26,7	-----	
00:00:40,500	51,3	26,7	-----	
00:00:40,520	51,3	26,7	-----	
00:00:40,540	51,3	26,7	-----	
00:00:40,560	51,3	26,7	-----	
00:00:40,580	51,3	26,7	-----	
00:00:40,600	51,3	26,7	-----	
00:00:40,620	51,3	26,7	-----	
00:00:40,640	51,4	26,7	-----	
00:00:40,660	51,4	26,7	-----	
00:00:40,680	51,4	26,7	-----	
00:00:40,700	51,4	26,7	-----	
00:00:40,720	51,4	26,7	-----	
00:00:40,740	51,4	26,7	-----	
00:00:40,760	51,4	26,7	-----	
00:00:40,780	51,4	26,7	-----	
00:00:40,800	51,4	26,7	-----	
00:00:40,820	51,4	26,7	-----	
00:00:40,840	51,4	26,7	-----	
00:00:40,860	51,4	26,7	-----	
00:00:40,880	51,4	26,7	-----	
00:00:40,900	51,4	26,7	-----	
00:00:40,920	51,4	26,7	-----	
00:00:40,940	51,4	26,7	-----	
00:00:40,960	51,4	26,7	-----	
00:00:40,980	51,4	26,7	-----	
00:00:41,000	51,4	26,7	-----	
00:00:41,020	51,5	26,7	-----	
00:00:41,040	51,5	26,7	-----	
00:00:41,060	51,5	26,7	-----	
00:00:41,080	51,5	26,7	-----	
00:00:41,100	51,5	26,7	-----	
00:00:41,120	51,5	26,7	-----	
00:00:41,140	51,5	26,7	-----	
00:00:41,160	51,5	26,7	-----	
00:00:41,180	51,5	26,7	-----	
00:00:41,200	51,5	26,7	-----	
00:00:41,220	51,5	26,7	-----	
00:00:41,240	51,5	26,7	-----	
00:00:41,260	51,5	26,7	-----	
00:00:41,280	51,5	26,7	-----	
00:00:41,300	51,5	26,7	-----	
00:00:41,320	51,5	26,7	-----	
00:00:41,340	51,5	26,7	-----	
00:00:41,360	51,5	26,7	-----	
00:00:41,380	51,5	26,7	-----	
00:00:41,400	51,5	26,7	-----	
00:00:41,420	51,5	26,7	-----	
00:00:41,440	51,5	26,7	-----	
00:00:41,460	51,6	26,7	-----	
00:00:41,480	51,6	26,7	-----	
00:00:41,500	51,6	26,7	-----	
00:00:41,520	51,6	26,7	-----	
00:00:41,540	51,6	26,7	-----	
