[Connect DataFile][1.0]
Date:	25.9.2018
Time:	16:43:40
Unit:	°C
Resolution:	0,020
Time	TObj	TInt	TExt
00:00:09,980	17,1	26,8	-----	
00:00:10,000	17,2	26,8	-----	
00:00:10,020	17,3	26,8	-----	
00:00:10,040	17,4	26,8	-----	
00:00:10,060	17,5	26,8	-----	
00:00:10,080	17,5	26,8	-----	
00:00:10,100	17,6	26,8	-----	
00:00:10,120	17,8	26,8	-----	
00:00:10,140	17,8	26,8	-----	
00:00:10,160	17,9	26,8	-----	
00:00:10,180	18,0	26,8	-----	
00:00:10,200	18,0	26,8	-----	
00:00:10,220	18,2	26,8	-----	
00:00:10,240	18,4	26,8	-----	
00:00:10,260	18,4	26,8	-----	
00:00:10,280	18,5	26,8	-----	
00:00:10,300	18,6	26,8	-----	
00:00:10,320	18,7	26,8	-----	
00:00:10,340	18,8	26,8	-----	
00:00:10,360	18,8	26,8	-----	
00:00:10,380	18,9	26,8	-----	
00:00:10,400	19,0	26,8	-----	
00:00:10,420	19,0	26,8	-----	
00:00:10,440	19,0	26,8	-----	
00:00:10,460	19,0	26,8	-----	
00:00:10,480	19,0	26,8	-----	
00:00:10,500	19,2	26,8	-----	
00:00:10,520	19,3	26,8	-----	
00:00:10,540	19,4	26,8	-----	
00:00:10,560	19,5	26,8	-----	
00:00:10,580	19,7	26,8	-----	
00:00:10,600	19,8	26,8	-----	
00:00:10,620	19,8	26,8	-----	
00:00:10,640	19,9	26,8	-----	
00:00:10,660	20,0	26,8	-----	
00:00:10,680	20,0	26,8	-----	
00:00:10,700	20,0	26,8	-----	
00:00:10,720	20,2	26,8	-----	
00:00:10,740	20,3	26,8	-----	
00:00:10,760	20,3	26,8	-----	
00:00:10,780	20,4	26,8	-----	
00:00:10,800	20,6	26,8	-----	
00:00:10,820	20,7	26,8	-----	
00:00:10,840	20,7	26,8	-----	
00:00:10,860	20,8	26,8	-----	
00:00:10,880	20,9	26,8	-----	
00:00:10,900	20,9	26,8	-----	
00:00:10,920	20,9	26,8	-----	
